,NPU,"Count, Total population, 2015","Median, Median age (years), 2015","Median, Median value of owner-occupied unit (dollars), 2015","Median, Median gross rent (dollars), 2015","Median, Median household Income, 2015","Percent, Public transportation (excluding taxicab) to work, 2015","Percent, Walked to work, 2015","Percent, Other means to work, 2015",Crime Count,Neighborhood,Location,Coordinate
72,NPU B,3380,48.0,295000.0,1727.0,86948.0,1.8,3.8,3.5,560,Buckhead Heights,"Buckhead Heights, Atlanta, GA 30326, USA","(33.8496303, -84.35749109999999)"
73,NPU B,2332,33.9,429949.0,935.0,68905.0,1.1,3.7,2.2,560,Buckhead Village,"Buckhead, Atlanta, GA, USA","(33.8372663, -84.406761)"
74,NPU B,1888,35.0,272356.0,1272.0,75063.0,1.2,1.3,0.0,560,East Chastain Park,"East Chastain Park, Atlanta, GA 30342, USA","(33.8682434, -84.3844304)"
75,NPU B,4034,35.0,420425.0,1098.0,72717.0,1.5,2.9,0.9,560,Garden Hills,"Garden Hills Park, E Wesley Rd NE, Atlanta, GA 30305, USA","(33.8291667, -84.3780556)"
76,NPU B,5826,29.0,121703.0,1181.0,54876.0,16.2,3.4,0.4,560,Lindbergh/Morosgo,"Lindbergh/Morosgo, Atlanta, GA, USA","(33.8258116, -84.3670983)"
77,NPU B,8897,38.4,463416.0,1400.0,119891.0,2.0,2.0,2.8,560,North Buckhead,"North Buckhead, Atlanta, GA, USA","(33.8526562, -84.36537539999999)"
78,NPU B,3732,35.0,428067.0,1169.0,91328.0,4.6,0.5,0.3,560,Peachtree Heights East,"Peachtree Heights East, Atlanta, GA 30305, USA","(33.8263949, -84.3818027)"
79,NPU B,4439,44.8,457718.0,1177.0,73120.0,1.2,1.2,1.0,560,Peachtree Heights West,"Peachtree Heights West, Atlanta, GA 30305, USA","(33.8352199, -84.39231269999999)"
80,NPU B,8988,31.1,227234.0,1160.0,61467.0,9.3,3.4,0.9,560,Pine Hills,"Pine Hills, Atlanta, GA 30324, USA","(33.8375365, -84.3515759)"
81,NPU S,4021,35.0,67118.0,876.0,21669.0,29.2,1.5,0.6,80,Bush Mountain,"Bush Mountain, Atlanta, GA 30310, USA","(33.7277591, -84.43236499999999)"
82,NPU S,2490,40.2,80416.0,1129.0,36688.0,20.2,1.7,0.6,80,Cascade Avenue/Road,"Cascade Ave SW, Atlanta, GA, USA","(33.7295285, -84.44111339999999)"
83,NPU S,4264,39.2,73684.0,928.0,27151.0,20.9,1.8,0.2,80,Fort McPherson,"Fort McPherson, Atlanta, GA 30310, USA","(33.7077085, -84.4356468)"
84,NPU N,4205,33.1,210179.0,960.0,58685.0,7.7,1.1,7.2,221,Cabbagetown,"Cabbagetown, Atlanta, GA, USA","(33.7497918, -84.365377)"
85,NPU N,5280,35.1,422443.0,1009.0,93928.0,5.8,2.8,4.4,221,Candler Park,"Candler Park, Atlanta, GA 30307, USA","(33.7649327, -84.3463175)"
86,NPU N,6788,32.5,310453.0,1166.0,69696.0,4.2,3.9,4.6,221,Inman Park,"Inman Park, Atlanta, GA 30307, USA","(33.7583923, -84.35551939999999)"
87,NPU N,2766,37.5,375975.0,1149.0,101394.0,7.8,0.5,2.8,221,Lake Claire,"Lake Claire, Atlanta, GA 30307, USA","(33.76396860000001, -84.3252791)"
88,NPU M,16326,26.2,162925.0,988.0,41841.0,9.7,17.8,2.0,653,Castleberry Hill,"Castleberry Hill, Atlanta, GA, USA","(33.7492851, -84.400194)"
89,NPU M,14321,32.8,160770.0,979.0,42627.0,5.4,10.2,3.4,653,Old Fourth Ward,"Old Fourth Ward, Atlanta, GA, USA","(33.7639588, -84.3719735)"
90,NPU J,2285,44.4,65024.0,851.0,25679.0,14.2,1.3,0.0,111,Center Hill,"Center Hill, Atlanta, GA, USA","(33.7701651, -84.4618943)"
91,NPU J,3229,41.5,65916.0,833.0,27140.0,16.2,0.7,0.0,111,Dixie Hills,"Dixie Hills, Atlanta, GA, USA","(33.7585557, -84.45139669999999)"
92,NPU J,4646,34.7,72455.0,918.0,25891.0,12.6,2.2,0.5,111,Grove Park,"Grove Park, Atlanta, GA, USA","(33.7750273, -84.4461472)"
93,NPU A,3251,43.0,883916.0,1187.0,,1.7,0.9,0.4,51,Chastain Park,"Chastain Memorial Park, 140 W Wieuca Rd NW, Atlanta, GA 30342, USA","(33.8750856, -84.3906775)"
94,NPU A,4845,43.3,958256.0,1596.0,186825.0,0.0,0.7,1.0,51,Kingswood,"Kingswood, Atlanta, GA, USA","(33.8556469, -84.4133272)"
95,NPU A,4410,43.2,871309.0,1560.0,159271.0,0.0,0.1,0.3,51,Margaret Mitchell,"Margaret Mitchell, Atlanta, GA 30327, USA","(33.8357889, -84.4356468)"
96,NPU O,4680,36.2,219834.0,778.0,51049.0,10.5,0.1,3.9,142,East Lake,"East Lake, Atlanta, GA, USA","(33.7475043, -84.30028639999999)"
97,NPU O,4213,35.9,203499.0,1020.0,39646.0,9.2,1.5,3.2,142,Edgewood,"Edgewood, Atlanta, GA, USA","(33.7550068, -84.3423734)"
98,NPU O,6053,38.0,233307.0,893.0,59805.0,11.9,1.0,1.9,142,Kirkwood,"Kirkwood, Atlanta, GA, USA","(33.752831, -84.3252791)"
99,NPU L,3537,24.5,225878.0,825.0,12628.0,14.3,3.0,1.1,158,English Avenue,"English Avenue, Atlanta, GA, USA","(33.7678014, -84.40938760000002)"
100,NPU L,3434,30.5,157447.0,840.0,25413.0,31.0,4.7,1.9,158,Vine City,"Vine City, Atlanta, GA, USA","(33.7578773, -84.4054477)"
101,NPU Q,2852,37.5,180774.0,1094.0,71163.0,15.8,0.7,1.7,1,Midwest Cascade,"Midwest Cascade, Atlanta, GA 30331, USA","(33.7286368, -84.5300827)"
